c1,c2,c1_height,c2_height,lcs_height,wupalmer
Ren-Goupil,Iberian,2,6,1,0.25
Ren-Goupil,East Asian,2,7,1,0.2222222222222222
Ren-Goupil,Latin,2,9,2,0.36363636363636365
Ren-Goupil,Mediterranean,2,5,1,0.2857142857142857
Ren-Goupil,Crmazie,2,2,1,0.5
Ren-Goupil,Parc-Extension,2,2,1,0.5
Ren-Goupil,South Asian,2,5,1,0.2857142857142857
Ren-Goupil,Villeray,2,1,1,0.6666666666666666
Ren-Goupil,Gabriel-Sagard,2,2,1,0.5
Ren-Goupil,Sainte-Lucie,2,2,1,0.5
Ren-Goupil,Ren-Goupil,2,2,2,1.0
Ren-Goupil,Parc-Jarry,2,2,1,0.5
Ren-Goupil,Franois-Perrault,2,2,1,0.5
Parc-Jarry,French,2,7,2,0.4444444444444444
Parc-Jarry,African,2,6,2,0.5
Parc-Jarry,Italian,2,6,2,0.5
Parc-Jarry,Pizza,2,7,2,0.4444444444444444
Parc-Jarry,South-East Asian,2,8,2,0.4
Parc-Jarry,Caf,2,8,2,0.4
Parc-Jarry,Middle Eastern,2,9,2,0.36363636363636365
Parc-Jarry,Fast Food,2,8,2,0.4
Parc-Jarry,Iberian,2,6,2,0.5
Parc-Jarry,East Asian,2,7,2,0.4444444444444444
Parc-Jarry,Latin,2,9,2,0.36363636363636365
Parc-Jarry,Mediterranean,2,5,1,0.2857142857142857
Parc-Jarry,Crmazie,2,2,1,0.5
Parc-Jarry,Parc-Extension,2,2,1,0.5
Parc-Jarry,South Asian,2,5,2,0.5714285714285714
Parc-Jarry,Villeray,2,1,1,0.6666666666666666
Parc-Jarry,Gabriel-Sagard,2,2,1,0.5
Parc-Jarry,Sainte-Lucie,2,2,1,0.5
Parc-Jarry,Ren-Goupil,2,2,1,0.5
Parc-Jarry,Parc-Jarry,2,2,2,1.0
Parc-Jarry,Franois-Perrault,2,2,1,0.5
Franois-Perrault,French,2,7,1,0.2222222222222222
Franois-Perrault,African,2,6,2,0.5
Franois-Perrault,Italian,2,6,1,0.25
Franois-Perrault,Pizza,2,7,2,0.4444444444444444
Franois-Perrault,South-East Asian,2,8,2,0.4
Franois-Perrault,Caf,2,8,2,0.4
Franois-Perrault,Middle Eastern,2,9,2,0.36363636363636365
Franois-Perrault,Fast Food,2,8,2,0.4
Franois-Perrault,Iberian,2,6,2,0.5
Franois-Perrault,East Asian,2,7,2,0.4444444444444444
Franois-Perrault,Latin,2,9,2,0.36363636363636365
Franois-Perrault,Mediterranean,2,5,2,0.5714285714285714
Franois-Perrault,Crmazie,2,2,1,0.5
Franois-Perrault,Parc-Extension,2,2,1,0.5
Franois-Perrault,South Asian,2,5,1,0.2857142857142857
Franois-Perrault,Villeray,2,1,1,0.6666666666666666
Franois-Perrault,Gabriel-Sagard,2,2,1,0.5
Franois-Perrault,Sainte-Lucie,2,2,1,0.5
Franois-Perrault,Ren-Goupil,2,2,1,0.5
Franois-Perrault,Parc-Jarry,2,2,1,0.5
Franois-Perrault,Franois-Perrault,2,2,2,1.0
